Classe,Immagini corrette come prima classe,Totale immagini per classe
Vimeo,3231,4126
Instagram,1209,1469
Whatsapp,1851,1994
Skype,1679,1929
Snapchat,203,455
TikTok,2874,3378
Within,1029,1174
Netflix,412,518
Youtube,152,232
Facebook,386,714
Messenger,1195,1612
FulldiveVR,259,496
Zoom,35,55
DiscoveryVR,250,399
VRRollercoaster,1398,1897
PrimeVideo,4308,5135

Statistiche globali
Totale immagini analizzate,25583
Immagini classificate correttamente come prima classe,20471
Immagini classificate correttamente come seconda classe,1773
Immagini classificate correttamente come terza classe,835
Immagini sbagliate,2504

Matrice di confusione
Classe Reale / Predetta,DiscoveryVR,Facebook,FulldiveVR,Instagram,Messenger,Netflix,PrimeVideo,Skype,Snapchat,TikTok,VRRollercoaster,Vimeo,Whatsapp,Within,Youtube,Zoom
DiscoveryVR,250,3,1,2,0,0,17,51,2,1,6,28,0,38,0,0
Facebook,47,386,1,5,70,0,1,0,22,10,4,1,139,0,15,13
FulldiveVR,13,2,259,3,0,1,10,0,10,9,104,30,9,23,19,4
Instagram,10,83,6,1209,66,0,0,13,5,2,10,1,55,0,0,9
Messenger,7,92,4,15,1195,12,0,2,53,27,4,9,89,0,37,66
Netflix,13,0,6,0,5,412,1,3,48,4,10,11,0,2,1,2
PrimeVideo,23,0,8,1,73,63,4308,266,0,6,122,33,6,112,6,108
Skype,10,14,4,4,1,1,10,1679,1,2,20,26,28,18,1,110
Snapchat,1,1,0,52,0,36,0,0,203,39,2,10,32,27,40,12
TikTok,2,4,0,0,27,6,0,1,83,2874,0,94,67,0,127,93
VRRollercoaster,85,7,28,19,0,6,21,138,8,18,1398,36,0,77,1,55
Vimeo,87,4,124,38,17,40,10,129,10,8,54,3231,1,220,97,56
Whatsapp,0,42,7,70,6,0,0,0,0,0,9,0,1851,0,3,6
Within,5,0,3,0,1,1,48,3,23,3,17,33,0,1029,2,6
Youtube,0,0,0,0,0,2,0,0,8,33,6,2,29,0,152,0
Zoom,0,0,0,0,1,0,2,7,0,0,0,0,10,0,0,35
